1;2
0 0 2;0 0 0;1 1 1;1 1 1
0,134715 0,3910256 0,2333333;0,2357513 0,1538462 0,4083332;0,4083332 0,1538462 0,2357513;255 165 0
0,2357513 0,1538462 0,4083332;0,4083332 0,1538462 0,2357513;0,453205 -0,006410256 0,261658;255 165 0
0,2357513 0,1538462 0,4083332;0,261658 -0,006410256 0,453205;0,453205 -0,006410256 0,261658;255 165 0
0,261658 -0,006410256 0,453205;0,453205 -0,006410256 0,261658;0,4307691 -0,1410256 0,2487047;255 165 0
0,261658 -0,006410256 0,453205;0,2487047 -0,1410256 0,4307691;0,4307691 -0,1410256 0,2487047;255 165 0
0,2487047 -0,1410256 0,4307691;0,4307691 -0,1410256 0,2487047;0,2198717 -0,3782051 0,126943;255 165 0
0,2487047 -0,1410256 0,4307691;0,126943 -0,3782051 0,2198717;0,2198717 -0,3782051 0,126943;255 165 0
0,126943 -0,3782051 0,2198717;0,2198717 -0,3782051 0,126943;0,004487148 -0,4551282 0,002590657;255 165 0
0,126943 -0,3782051 0,2198717;0,002590657 -0,4551282 0,004487148;0,004487148 -0,4551282 0,002590657;255 165 0
0,01346155 0,448718 0,007772029;0,01554406 0,448718 -1,358905E-09;0,26943 0,3910256 -2,355432E-08;255 165 0
0,01346155 0,448718 0,007772029;0,2333333 0,3910256 0,134715;0,26943 0,3910256 -2,355432E-08;255 165 0
0,2333333 0,3910256 0,134715;0,26943 0,3910256 -2,355432E-08;0,4715025 0,1538462 -4,122006E-08;255 165 0
0,2333333 0,3910256 0,134715;0,4083332 0,1538462 0,2357513;0,4715025 0,1538462 -4,122006E-08;255 165 0
0,4083332 0,1538462 0,2357513;0,4715025 0,1538462 -4,122006E-08;0,523316 -0,006410256 -4,574974E-08;255 165 0
0,4083332 0,1538462 0,2357513;0,453205 -0,006410256 0,261658;0,523316 -0,006410256 -4,574974E-08;255 165 0
0,453205 -0,006410256 0,261658;0,523316 -0,006410256 -4,574974E-08;0,4974093 -0,1410256 -4,348491E-08;255 165 0
0,453205 -0,006410256 0,261658;0,4307691 -0,1410256 0,2487047;0,4974093 -0,1410256 -4,348491E-08;255 165 0
0,4307691 -0,1410256 0,2487047;0,4974093 -0,1410256 -4,348491E-08;0,253886 -0,3782051 -2,219542E-08;255 165 0
