1;2
0 0 2;0 0 0;1 1 1;1 1 1
0,6730767 0,6282051 0,3886011;0,7772021 0,6282051 -6,794517E-08;0,7979275 -0,6474359 -6,975704E-08;255 165 0
0,6730767 0,6282051 0,3886011;0,6910255 -0,6474359 0,3989638;0,7979275 -0,6474359 -6,975704E-08;255 165 0
0,6910255 -0,6474359 0,3989638;0,7979275 -0,6474359 -6,975704E-08;0,03108811 -0,6858974 -2,717809E-09;255 165 0
0,6910255 -0,6474359 0,3989638;0,0269231 -0,6858974 0,01554406;0,03108811 -0,6858974 -2,717809E-09;255 165 0
0,0269231 -0,6858974 0,01554406;0,03108811 -0,6858974 -2,717809E-09;0,02590668 -0,5897436 -2,264834E-09;255 165 0
0,0269231 -0,6858974 0,01554406;0,02243584 -0,5897436 0,01295334;0,02590668 -0,5897436 -2,264834E-09;255 165 0
0,02243584 -0,5897436 0,01295334;0,02590668 -0,5897436 -2,264834E-09;0,7150259 -0,5641026 -6,250955E-08;255 165 0
0,02243584 -0,5897436 0,01295334;0,6192306 -0,5641026 0,357513;0,7150259 -0,5641026 -6,250955E-08;255 165 0
0,6192306 -0,5641026 0,357513;0,7150259 -0,5641026 -6,250955E-08;0,7253886 0,6282051 -6,341549E-08;255 165 0
0,6192306 -0,5641026 0,357513;0,628205 0,6282051 0,3626944;0,7253886 0,6282051 -6,341549E-08;255 165 0
0,7772021 0,6282051 -6,794517E-08;0,6730767 0,6282051 -0,388601;0,6910255 -0,6474359 -0,3989637;255 165 0
0,7772021 0,6282051 -6,794517E-08;0,7979275 -0,6474359 -6,975704E-08;0,6910255 -0,6474359 -0,3989637;255 165 0
0,7979275 -0,6474359 -6,975704E-08;0,6910255 -0,6474359 -0,3989637;0,0269231 -0,6858974 -0,01554406;255 165 0
0,7979275 -0,6474359 -6,975704E-08;0,03108811 -0,6858974 -2,717809E-09;0,0269231 -0,6858974 -0,01554406;255 165 0
0,03108811 -0,6858974 -2,717809E-09;0,0269231 -0,6858974 -0,01554406;0,02243584 -0,5897436 -0,01295334;255 165 0
0,03108811 -0,6858974 -2,717809E-09;0,02590668 -0,5897436 -2,264834E-09;0,02243584 -0,5897436 -0,01295334;255 165 0
0,02590668 -0,5897436 -2,264834E-09;0,02243584 -0,5897436 -0,01295334;0,6192306 -0,5641026 -0,3575129;255 165 0
0,02590668 -0,5897436 -2,264834E-09;0,7150259 -0,5641026 -6,250955E-08;0,6192306 -0,5641026 -0,3575129;255 165 0
0,7150259 -0,5641026 -6,250955E-08;0,6192306 -0,5641026 -0,3575129;0,628205 0,6282051 -0,3626943;255 165 0
0,7150259 -0,5641026 -6,250955E-08;0,7253886 0,6282051 -6,341549E-08;0,628205 0,6282051 -0,3626943;255 165 0
0,6730767 0,6282051 -0,388601;0,388601 0,6282051 -0,6730768;0,3989637 -0,6474359 -0,6910255;255 165 0
0,6730767 0,6282051 -0,388601;0,6910255 -0,6474359 -0,3989637;0,3989637 -0,6474359 -0,6910255;255 165 0
0,6910255 -0,6474359 -0,3989637;0,3989637 -0,6474359 -0,6910255;0,01554405 -0,6858974 -0,0269231;255 165 0
0,6910255 -0,6474359 -0,3989637;0,0269231 -0,6858974 -0,01554406;0,01554405 -0,6858974 -0,0269231;255 165 0
0,0269231 -0,6858974 -0,01554406;0,01554405 -0,6858974 -0,0269231;0,01295334 -0,5897436 -0,02243585;255 165 0
0,0269231 -0,6858974 -0,01554406;0,02243584 -0,5897436 -0,01295334;0,01295334 -0,5897436 -0,02243585;255 165 0
0,02243584 -0,5897436 -0,01295334;0,01295334 -0,5897436 -0,02243585;0,3575129 -0,5641026 -0,6192306;255 165 0
0,02243584 -0,5897436 -0,01295334;0,6192306 -0,5641026 -0,3575129;0,3575129 -0,5641026 -0,6192306;255 165 0
0,6192306 -0,5641026 -0,3575129;0,3575129 -0,5641026 -0,6192306;0,3626943 0,6282051 -0,628205;255 165 0
0,6192306 -0,5641026 -0,3575129;0,628205 0,6282051 -0,3626943;0,3626943 0,6282051 -0,628205;255 165 0
0,388601 0,6282051 -0,6730768;-9,268042E-09 0,6282051 -0,7772021;-9,51519E-09 -0,6474359 -0,7979275;255 165 0
0,388601 0,6282051 -0,6730768;0,3989637 -0,6474359 -0,6910255;-9,51519E-09 -0,6474359 -0,7979275;255 165 0
0,3989637 -0,6474359 -0,6910255;-9,51519E-09 -0,6474359 -0,7979275;-3,70722E-10 -0,6858974 -0,03108811;255 165 0
0,3989637 -0,6474359 -0,6910255;0,01554405 -0,6858974 -0,0269231;-3,70722E-10 -0,6858974 -0,03108811;255 165 0
0,01554405 -0,6858974 -0,0269231;-3,70722E-10 -0,6858974 -0,03108811;-3,089341E-10 -0,5897436 -0,02590668;255 165 0
0,01554405 -0,6858974 -0,0269231;0,01295334 -0,5897436 -0,02243585;-3,089341E-10 -0,5897436 -0,02590668;255 165 0
0,01295334 -0,5897436 -0,02243585;-3,089341E-10 -0,5897436 -0,02590668;-8,526598E-09 -0,5641026 -0,7150259;255 165 0
0,01295334 -0,5897436 -0,02243585;0,3575129 -0,5641026 -0,6192306;-8,526598E-09 -0,5641026 -0,7150259;255 165 0
0,3575129 -0,5641026 -0,6192306;-8,526598E-09 -0,5641026 -0,7150259;-8,650173E-09 0,6282051 -0,7253886;255 165 0
0,3575129 -0,5641026 -0,6192306;0,3626943 0,6282051 -0,628205;-8,650173E-09 0,6282051 -0,7253886;255 165 0
-9,268042E-09 0,6282051 -0,7772021;-0,388601 0,6282051 -0,6730768;-0,3989637 -0,6474359 -0,6910255;255 165 0
-9,268042E-09 0,6282051 -0,7772021;-9,51519E-09 -0,6474359 -0,7979275;-0,3989637 -0,6474359 -0,6910255;255 165 0
-9,51519E-09 -0,6474359 -0,7979275;-0,3989637 -0,6474359 -0,6910255;-0,01554405 -0,6858974 -0,0269231;255 165 0
-9,51519E-09 -0,6474359 -0,7979275;-3,70722E-10 -0,6858974 -0,03108811;-0,01554405 -0,6858974 -0,0269231;255 165 0
-3,70722E-10 -0,6858974 -0,03108811;-0,01554405 -0,6858974 -0,0269231;-0,01295334 -0,5897436 -0,02243585;255 165 0
-3,70722E-10 -0,6858974 -0,03108811;-3,089341E-10 -0,5897436 -0,02590668;-0,01295334 -0,5897436 -0,02243585;255 165 0
-3,089341E-10 -0,5897436 -0,02590668;-0,01295334 -0,5897436 -0,02243585;-0,3575129 -0,5641026 -0,6192306;255 165 0
-3,089341E-10 -0,5897436 -0,02590668;-8,526598E-09 -0,5641026 -0,7150259;-0,3575129 -0,5641026 -0,6192306;255 165 0
-8,526598E-09 -0,5641026 -0,7150259;-0,3575129 -0,5641026 -0,6192306;-0,3626943 0,6282051 -0,628205;255 165 0
-8,526598E-09 -0,5641026 -0,7150259;-8,650173E-09 0,6282051 -0,7253886;-0,3626943 0,6282051 -0,628205;255 165 0
-0,388601 0,6282051 -0,6730768;-0,6730767 0,6282051 -0,3886012;-0,6910254 -0,6474359 -0,3989639;255 165 0
-0,388601 0,6282051 -0,6730768;-0,3989637 -0,6474359 -0,6910255;-0,6910254 -0,6474359 -0,3989639;255 165 0
-0,3989637 -0,6474359 -0,6910255;-0,6910254 -0,6474359 -0,3989639;-0,02692309 -0,6858974 -0,01554406;255 165 0
-0,3989637 -0,6474359 -0,6910255;-0,01554405 -0,6858974 -0,0269231;-0,02692309 -0,6858974 -0,01554406;255 165 0
-0,01554405 -0,6858974 -0,0269231;-0,02692309 -0,6858974 -0,01554406;-0,02243584 -0,5897436 -0,01295335;255 165 0
-0,01554405 -0,6858974 -0,0269231;-0,01295334 -0,5897436 -0,02243585;-0,02243584 -0,5897436 -0,01295335;255 165 0
