1;2
0 0 2;0 0 0;1 1 1;1 1 1
0,6127284 -0,7628205 -0,2538004;0,468962 -0,7628205 -0,468962;0 -0,7628205 0;255 165 0
0,6127284 -0,7628205 -0,2538004;0 -0,7628205 0;0 -0,7628205 0;255 165 0
0 0,8076923 0;0 0,8076923 0;0,2617317 0,8141026 -0,6318761;255 165 0
0 0,8076923 0;0,4836171 0,8141026 -0,483617;0,2617317 0,8141026 -0,6318761;255 165 0
0,4836171 0,8141026 -0,483617;0,2617317 0,8141026 -0,6318761;0,2538005 -0,7628205 -0,6127284;255 165 0
0,4836171 0,8141026 -0,483617;0,468962 -0,7628205 -0,468962;0,2538005 -0,7628205 -0,6127284;255 165 0
0,468962 -0,7628205 -0,468962;0,2538005 -0,7628205 -0,6127284;0 -0,7628205 0;255 165 0
0,468962 -0,7628205 -0,468962;0 -0,7628205 0;0 -0,7628205 0;255 165 0
0 0,8076923 0;0 0,8076923 0;-8,155877E-09 0,8141026 -0,6839378;255 165 0
0 0,8076923 0;0,2617317 0,8141026 -0,6318761;-8,155877E-09 0,8141026 -0,6839378;255 165 0
0,2617317 0,8141026 -0,6318761;-8,155877E-09 0,8141026 -0,6839378;-7,908729E-09 -0,7628205 -0,6632124;255 165 0
0,2617317 0,8141026 -0,6318761;0,2538005 -0,7628205 -0,6127284;-7,908729E-09 -0,7628205 -0,6632124;255 165 0
0,2538005 -0,7628205 -0,6127284;-7,908729E-09 -0,7628205 -0,6632124;0 -0,7628205 0;255 165 0
0,2538005 -0,7628205 -0,6127284;0 -0,7628205 0;0 -0,7628205 0;255 165 0
0 0,8076923 0;0 0,8076923 0;-0,2617318 0,8141026 -0,6318761;255 165 0
0 0,8076923 0;-8,155877E-09 0,8141026 -0,6839378;-0,2617318 0,8141026 -0,6318761;255 165 0
-8,155877E-09 0,8141026 -0,6839378;-0,2617318 0,8141026 -0,6318761;-0,2538005 -0,7628205 -0,6127283;255 165 0
-8,155877E-09 0,8141026 -0,6839378;-7,908729E-09 -0,7628205 -0,6632124;-0,2538005 -0,7628205 -0,6127283;255 165 0
-7,908729E-09 -0,7628205 -0,6632124;-0,2538005 -0,7628205 -0,6127283;0 -0,7628205 0;255 165 0
-7,908729E-09 -0,7628205 -0,6632124;0 -0,7628205 0;0 -0,7628205 0;255 165 0
0 0,8076923 0;0 0,8076923 0;-0,4836169 0,8141026 -0,4836171;255 165 0
0 0,8076923 0;-0,2617318 0,8141026 -0,6318761;-0,4836169 0,8141026 -0,4836171;255 165 0
-0,2617318 0,8141026 -0,6318761;-0,4836169 0,8141026 -0,4836171;-0,4689619 -0,7628205 -0,4689621;255 165 0
-0,2617318 0,8141026 -0,6318761;-0,2538005 -0,7628205 -0,6127283;-0,4689619 -0,7628205 -0,4689621;255 165 0
-0,2538005 -0,7628205 -0,6127283;-0,4689619 -0,7628205 -0,4689621;0 -0,7628205 0;255 165 0
-0,2538005 -0,7628205 -0,6127283;0 -0,7628205 0;0 -0,7628205 0;255 165 0
0 0,8076923 0;0 0,8076923 0;-0,6318762 0,8141026 -0,2617317;255 165 0
0 0,8076923 0;-0,4836169 0,8141026 -0,4836171;-0,6318762 0,8141026 -0,2617317;255 165 0
-0,4836169 0,8141026 -0,4836171;-0,6318762 0,8141026 -0,2617317;-0,6127284 -0,7628205 -0,2538004;255 165 0
-0,4836169 0,8141026 -0,4836171;-0,4689619 -0,7628205 -0,4689621;-0,6127284 -0,7628205 -0,2538004;255 165 0
-0,4689619 -0,7628205 -0,4689621;-0,6127284 -0,7628205 -0,2538004;0 -0,7628205 0;255 165 0
-0,4689619 -0,7628205 -0,4689621;0 -0,7628205 0;0 -0,7628205 0;255 165 0
0 0,8076923 0;0 0,8076923 0;-0,6318762 0,8141026 -0,2617317;255 165 0
0 0,8076923 0;-0,6839378 0,8141026 0;-0,6318762 0,8141026 -0,2617317;255 165 0
-0,6839378 0,8141026 0;-0,6318762 0,8141026 -0,2617317;-0,6127284 -0,7628205 -0,2538004;255 165 0
-0,6839378 0,8141026 0;-0,6632124 -0,7628205 0;-0,6127284 -0,7628205 -0,2538004;255 165 0
-0,6632124 -0,7628205 0;-0,6127284 -0,7628205 -0,2538004;0 -0,7628205 0;255 165 0
-0,6632124 -0,7628205 0;0 -0,7628205 0;0 -0,7628205 0;255 165 0
